grass_region,category_group,seller_type,shopee_item_id,shopee_model_id,competitor_item_id,competitor_model_id,shopee_model_price_usd,shopee_model_price,competitor_model_price,shopee_gmv_usd,shopee_order,shopee_model_competitiveness_status
ID,Lifestyle,Non-Mall,2808225931,5900329537,4675425130,953841232,12.05,186513.00,174917.00,1975.91,164.00,Shopee > CPT
PH,Lifestyle,Mall,2908538387,9778201718,8119818591,7865939223,26.59,1504.00,1695.00,3694.61,139.00,Shopee < CPT
PH,Fashion,Cross Border,8905655754,354363864,3458839401,2387784025,26.70,1511.00,1380.00,3738.51,140.00,Shopee > CPT
ID,Fashion,Mall,4404378662,1527758916,117690349,4574024250,23.46,363157.00,337960.00,2627.41,112.00,Shopee > CPT
TH,Electronics,Non-Mall,438421365,5412944814,4935811491,6308277132,2.15,78.00,85.00,348.46,163.00,Shopee < CPT
ID,FMCG,Cross Border,3255697899,3356156549,727403387,9523211027,189.03,2926298.00,3050802.00,14933.47,79.00,Shopee < CPT
PH,Fashion,Long Tail (LT),1354062763,4049681057,4373504848,4253342047,172.41,9755.00,11170.00,17929.45,104.00,Shopee < CPT
ID,Fashion,Long Tail (LT),6655345012,3019561337,8263811431,7189084615,2.44,37822.00,30359.00,466.65,191.00,Shopee > CPT
MY,Electronics,Long Tail (LT),7584665006,8400983076,347734771,7516339753,16.72,78.00,73.00,1065.13,64.00,Shopee > CPT
ID,Lifestyle,Long Tail (LT),9452386662,8926379516,8871514582,7457565979,104.93,1624376.00,1808708.00,15844.50,151.00,Shopee < CPT
ID,Electronics,Non-Mall,4632098809,8216211284,3166030474,8003792767,135.96,2104668.00,1833080.00,23248.49,171.00,Shopee > CPT
ID,Lifestyle,Non-Mall,5677479286,1169000224,8653094053,8420482655,31.11,481595.00,386415.00,3670.95,118.00,Shopee > CPT
VN,Fashion,Cross Border,2510050067,6057939563,6749634389,1850430380,2.89,70225.00,82098.00,404.13,140.00,Shopee < CPT
ID,Electronics,Cross Border,594356619,8801915303,3551843886,9355816814,24.25,375382.00,308065.00,654.71,27.00,Shopee > CPT
TH,Fashion,Non-Mall,4971217016,3783846320,3437721893,4886982490,39.84,1453.00,1184.00,1154.87,29.00,Shopee > CPT
VN,FMCG,Non-Mall,2408896687,4840036038,1640900635,8475087370,80.42,1956305.00,1805379.00,13429.37,167.00,Shopee > CPT
TH,FMCG,Non-Mall,3367432766,3041087216,4031931149,7203722366,60.16,2194.00,2479.00,2405.27,40.00,Shopee < CPT
TH,FMCG,Long Tail (LT),5415428864,1714645141,525981110,3024049014,64.13,2339.00,2201.00,7436.28,116.00,Shopee > CPT
VN,Electronics,Long Tail (LT),2946110380,47233137,2788398410,8995264004,140.82,3425847.00,3359869.00,13096.45,93.00,Shopee > CPT
ID,Lifestyle,Long Tail (LT),5627409844,2607109128,4538421468,1118740953,18.66,288812.00,318359.00,3600.71,193.00,Shopee < CPT
PH,FMCG,Cross Border,7177121972,4289644595,5755483045,5799135357,119.56,6765.00,8024.00,7173.41,60.00,Shopee < CPT
SG,Fashion,Long Tail (LT),2203277088,2606057535,7874595333,179454343,34.98,47.00,50.00,6625.31,192.00,Shopee < CPT
SG,Lifestyle,Cross Border,8410104074,1449481491,3397055076,6872855528,155.93,212.00,252.00,19300.32,124.00,Shopee < CPT
TH,Electronics,Non-Mall,9146379799,707288523,3454003575,6664242491,124.53,4543.00,4777.00,2739.26,22.00,Shopee < CPT
SG,Electronics,Mall,6144551034,1880604534,5663708034,1543606057,6.21,8.00,8.00,505.12,86.00,Shopee = CPT
MY,Fashion,Mall,9769869180,2783517930,5179592347,4956259789,46.40,217.00,204.00,2222.44,48.00,Shopee > CPT
ID,Electronics,Cross Border,6096489606,8411860216,1188846765,194309307,221.01,3421394.00,3961850.00,11934.71,54.00,Shopee < CPT
SG,Lifestyle,Cross Border,3743966243,3560830098,7679614202,9461791627,130.88,178.00,187.00,10585.51,81.00,Shopee < CPT
TH,Lifestyle,Cross Border,8489868340,6689372310,6985890188,6434454130,51.83,1891.00,1587.00,3731.57,72.00,Shopee > CPT
TH,Electronics,Cross Border,2686100932,4899123458,1211308658,6245934170,87.41,3189.00,3563.00,10925.27,125.00,Shopee < CPT
PH,Electronics,Mall,5293086515,360428979,1580641070,6789049115,85.88,4859.00,4657.00,11592.76,135.00,Shopee > CPT
MY,Fashion,Long Tail (LT),4247228473,9115085378,5964789800,7669295198,11.21,52.00,52.00,1364.70,123.00,Shopee = CPT
ID,Fashion,Cross Border,6947711129,4280570953,1884271320,2801595935,30.25,468242.00,477120.00,4718.57,156.00,Shopee < CPT
ID,Electronics,Non-Mall,7554609122,1319568746,4803999981,2571927078,174.63,2703311.00,2831515.00,21479.10,123.00,Shopee < CPT
TH,Fashion,Long Tail (LT),6264899981,5789991536,2033717489,6195146747,125.84,4591.00,4308.00,22900.58,182.00,Shopee > CPT
ID,Electronics,Long Tail (LT),288222440,8659282175,3834866720,3441270137,1.04,16170.00,15206.00,193.24,185.00,Shopee > CPT
PH,Fashion,Long Tail (LT),3144256578,5675069319,3915107320,1108811986,78.52,4442.00,4920.00,13659.48,174.00,Shopee < CPT
ID,FMCG,Non-Mall,2221704428,7629266149,7944589607,1841774238,379.03,5867525.00,6888563.00,67845.80,179.00,Shopee < CPT
VN,FMCG,Long Tail (LT),9429816638,2457723173,2941017974,3396206491,145.65,3543228.00,3101569.00,12525.64,86.00,Shopee > CPT
SG,Lifestyle,Cross Border,3907453084,2212778670,2487248215,1098903651,235.03,320.00,324.00,12686.76,54.00,Shopee < CPT
ID,Electronics,Non-Mall,169964500,1422490867,5953944192,7539225755,11.49,177936.00,147877.00,1321.83,115.00,Shopee > CPT
ID,Fashion,Long Tail (LT),6518817226,5245302171,1007839821,6024483146,20.36,315167.00,356360.00,2239.49,110.00,Shopee < CPT
TH,Lifestyle,Long Tail (LT),684859471,613266256,8737679303,8428427246,150.37,5486.00,5330.00,9171.78,61.00,Shopee > CPT
TH,Fashion,Long Tail (LT),8400734187,6106969862,2738911397,9330159952,45.18,1648.00,1721.00,90.33,2.00,Shopee < CPT
ID,Electronics,Cross Border,8840269462,1754171912,9677947662,1654607181,67.43,1043880.00,861324.00,1281.21,19.00,Shopee > CPT
ID,Fashion,Long Tail (LT),1375799825,8421629474,7541820733,2568688729,72.21,1117832.00,970118.00,11842.28,164.00,Shopee > CPT
MY,Lifestyle,Mall,7735605170,3549049536,547413448,140624476,118.10,553.00,573.00,6017.60,51.00,Shopee < CPT
ID,Electronics,Long Tail (LT),588722118,8961098821,2000314731,1017650758,168.57,2609578.00,2920841.00,15677.19,93.00,Shopee < CPT
ID,FMCG,Long Tail (LT),5372790635,6499729696,403201567,2045065095,125.40,1941200.00,1975122.00,10909.49,87.00,Shopee < CPT
TH,Lifestyle,Long Tail (LT),2962890085,1281232203,40745411,207148247,9.20,335.00,301.00,679.43,74.00,Shopee > CPT
TH,Lifestyle,Mall,7798938234,2694036470,163618679,9548183655,204.28,7453.00,7343.00,30844.37,151.00,Shopee > CPT
TH,Lifestyle,Mall,3034080178,5894813756,8315315824,903314851,230.05,8393.00,6932.00,15872.09,69.00,Shopee > CPT
ID,FMCG,Cross Border,9508468766,5921114446,2842462508,7075145819,11.35,175746.00,158944.00,1089.86,96.00,Shopee > CPT
VN,Fashion,Cross Border,9895081308,9938822920,8737947828,6685722667,306.77,7462882.00,7326987.00,51843.68,169.00,Shopee > CPT
ID,Electronics,Cross Border,6629401992,8976058638,2712943938,1942632533,193.07,2988847.00,3460362.00,16797.24,87.00,Shopee < CPT
TH,FMCG,Non-Mall,3639444127,8525375955,3133667135,6972779992,147.66,5387.00,4556.00,28642.87,194.00,Shopee > CPT
ID,Electronics,Mall,2465361265,7651216565,9178942209,8584310394,5.05,78153.00,91228.00,787.56,156.00,Shopee < CPT
SG,Lifestyle,Long Tail (LT),4472111697,3262960662,2609985684,9910068316,267.77,364.00,416.00,11224.26,42.00,Shopee < CPT
ID,Fashion,Mall,2461977236,8242351176,1960349528,7201715901,50.08,775288.00,791606.00,1051.71,21.00,Shopee < CPT
MY,Fashion,Mall,7530059211,65015438,3672105056,6178610006,45.25,212.00,197.00,5066.20,112.00,Shopee > CPT
ID,Electronics,Long Tail (LT),3537658136,5519803765,744263282,8714214617,140.20,2170366.00,2350416.00,9393.40,67.00,Shopee < CPT
SG,FMCG,Mall,3429226309,3375308387,5503545153,2020844336,39.36,53.00,44.00,2529.28,65.00,Shopee > CPT
ID,Electronics,Cross Border,6169204852,6154849156,7888536963,4590560277,236.82,3666078.00,4308292.00,6867.75,29.00,Shopee < CPT
SG,Fashion,Non-Mall,158156475,663999949,6472003911,8920465681,112.93,153.00,142.00,22353.80,199.00,Shopee > CPT
MY,Fashion,Mall,2638805905,3207769482,8543813567,3912168267,121.03,567.00,529.00,5807.01,48.00,Shopee > CPT
PH,Electronics,Mall,9738325879,3596074419,580037443,7988314942,1.58,89.00,71.00,290.98,185.00,Shopee > CPT
PH,Lifestyle,Cross Border,698139728,7166267530,920952679,1752721526,46.61,2637.00,2402.00,4287.50,92.00,Shopee > CPT
ID,Lifestyle,Mall,1161851714,8037565497,6076022450,9561536847,75.50,1168792.00,942750.00,12155.65,161.00,Shopee > CPT
VN,Fashion,Non-Mall,3636458036,9391372243,5890302270,5599604624,283.92,6907109.00,6517108.00,25269.05,89.00,Shopee > CPT
TH,Electronics,Long Tail (LT),4626067381,7218510892,3118472212,6459808197,125.09,4564.00,4804.00,6879.80,55.00,Shopee < CPT
ID,FMCG,Non-Mall,8682707484,2934933754,956390838,7560609664,321.79,4981392.00,5367307.00,30569.57,95.00,Shopee < CPT
MY,Fashion,Mall,5669537896,2369932401,6623114586,2184433998,122.26,573.00,627.00,6724.28,55.00,Shopee < CPT
PH,Electronics,Cross Border,9938297369,1321353518,8486400344,3996345705,51.55,2917.00,2662.00,1185.69,23.00,Shopee > CPT
PH,Fashion,Mall,8164933555,5231672534,5125402314,798564969,151.16,8553.00,6881.00,12999.40,86.00,Shopee > CPT
ID,Electronics,Cross Border,7019608532,7850797980,2244557768,5027986974,237.68,3679448.00,3652008.00,22104.50,93.00,Shopee > CPT
SG,Electronics,Mall,3461460289,2506212130,9600740387,1776051512,66.03,89.00,79.00,1502.88,23.00,Shopee > CPT
MY,Lifestyle,Non-Mall,9461602933,627520828,3439922175,155896180,247.00,1157.00,1036.00,3456.13,14.00,Shopee > CPT
ID,Fashion,Mall,7545243792,4909464279,5171431729,2520100886,33.15,513135.00,609036.00,2353.45,71.00,Shopee < CPT
SG,Lifestyle,Long Tail (LT),1150998125,3221997627,7055781466,3582943180,50.41,68.00,61.00,4193.68,84.00,Shopee > CPT
ID,Lifestyle,Long Tail (LT),6683354913,2523083053,7995057792,1079744323,256.77,3974877.00,3929654.00,13095.10,51.00,Shopee > CPT
ID,FMCG,Cross Border,855764920,8547587604,8900089518,1393959991,377.14,5838388.00,6426741.00,39977.33,106.00,Shopee < CPT
ID,Lifestyle,Non-Mall,4450528552,4045335604,3406986195,7662266051,80.73,1249685.00,1154192.00,11301.70,140.00,Shopee > CPT
TH,Fashion,Long Tail (LT),9814740409,7110808269,2084379563,9657949489,293.78,10719.00,11040.00,4994.26,17.00,Shopee < CPT
TH,FMCG,Cross Border,3652740530,3911698529,5644332633,2464491816,142.42,5196.00,5574.00,23924.68,168.00,Shopee < CPT
VN,Lifestyle,Non-Mall,6645775238,7749766400,270989761,6981820212,154.68,3762917.00,3457100.00,28924.69,187.00,Shopee > CPT
ID,FMCG,Mall,6835648275,7535807404,4805746579,9017783060,382.77,5925419.00,5793136.00,39042.20,102.00,Shopee > CPT
SG,Fashion,Long Tail (LT),3103123631,3809763253,1574031564,774298964,60.99,83.00,94.00,1096.88,18.00,Shopee < CPT
VN,Fashion,Non-Mall,9706655633,8811361881,727757975,2334543094,31.09,756245.00,803813.00,5595.48,180.00,Shopee < CPT
ID,Fashion,Mall,1826052427,4451809895,7288425468,4228178808,42.03,650568.00,636495.00,8362.97,199.00,Shopee > CPT
ID,Lifestyle,Mall,5846483208,4002348630,3342349570,3613106613,63.41,981549.00,974205.00,11032.56,174.00,Shopee > CPT
TH,Electronics,Non-Mall,2813491732,5513178556,264821728,1081445332,107.73,3930.00,3531.00,7755.20,72.00,Shopee > CPT
MY,FMCG,Cross Border,6010335368,4000084612,4011323749,2839373354,5.84,27.00,27.00,720.12,125.00,Shopee = CPT
PH,Lifestyle,Long Tail (LT),8357788346,7634904305,8638925155,9887506659,314.28,17783.00,18504.00,8799.73,28.00,Shopee < CPT
ID,Lifestyle,Long Tail (LT),5621980546,189938983,6031662274,5335038557,80.35,1243857.00,1091286.00,11570.39,144.00,Shopee > CPT
ID,Electronics,Long Tail (LT),4279330578,8866275226,7435453219,5657449052,79.75,1234494.00,1379013.00,9808.65,123.00,Shopee < CPT
MY,FMCG,Cross Border,3779523430,3678222731,5724334199,1942605545,55.42,259.00,214.00,6189.36,112.00,Shopee > CPT
SG,Electronics,Cross Border,7009328513,1809015772,7254766471,8209904808,3.61,4.00,4.00,281.93,96.00,Shopee = CPT
ID,Electronics,Mall,2283795848,9991993958,8540141583,7186599164,44.69,691759.00,793309.00,1474.63,33.00,Shopee < CPT
PH,Lifestyle,Long Tail (LT),3137927404,763538849,550460734,6784953964,85.49,4837.00,5295.00,11283.83,132.00,Shopee < CPT
SG,Lifestyle,Non-Mall,4464825446,1473962592,9754623957,8269878407,315.58,429.00,379.00,44725.23,142.00,Shopee > CPT
TH,Fashion,Long Tail (LT),8027930079,6006999693,9936439172,4886933268,262.35,9572.00,9595.00,8657.34,33.00,Shopee < CPT
TH,Fashion,Long Tail (LT),8545717292,3125148263,3425491327,6296244447,79.16,2888.00,2879.00,12189.49,154.00,Shopee > CPT
ID,FMCG,Cross Border,8820793391,1019915671,3321075184,7887807699,106.82,1653700.00,1637203.00,10041.52,94.00,Shopee > CPT
PH,Fashion,Long Tail (LT),6104701276,8554505626,227471278,1579475149,89.40,5058.00,6063.00,16626.40,186.00,Shopee < CPT
TH,FMCG,Cross Border,1242566292,4467980441,9534055124,5649817137,18.15,662.00,599.00,707.60,39.00,Shopee > CPT
ID,Lifestyle,Long Tail (LT),2064515226,5713722097,7969033161,7509588928,402.05,6223933.00,5481747.00,38998.84,97.00,Shopee > CPT
TH,Lifestyle,Cross Border,8945624495,4352892990,8349722668,9846652192,131.90,4812.00,4044.00,8176.83,62.00,Shopee > CPT
ID,Electronics,Non-Mall,2274407968,5244382021,3472667013,3185849083,14.55,225244.00,218014.00,1702.37,117.00,Shopee > CPT
ID,FMCG,Mall,4371279397,3816218907,6561789706,9340887717,369.44,5719098.00,6615341.00,27338.47,74.00,Shopee < CPT
ID,Lifestyle,Cross Border,8905817015,1342530701,1035911853,8160374259,336.06,5202348.00,4305279.00,3360.58,10.00,Shopee > CPT
ID,Fashion,Cross Border,5243647664,490464772,8951971406,7509334,18.42,285189.00,272362.00,700.05,38.00,Shopee > CPT
SG,Electronics,Long Tail (LT),2841402427,8132396371,7886148726,3215014614,28.50,38.00,34.00,1004.37,36.00,Shopee > CPT
ID,Lifestyle,Non-Mall,5542902434,7449878171,9824515831,7906080948,16.01,247876.00,228431.00,2241.70,140.00,Shopee > CPT
MY,Fashion,Long Tail (LT),8313050952,6498014657,7431457234,7447504864,329.86,1545.00,1769.00,329.65,1.00,Shopee < CPT
ID,Lifestyle,Long Tail (LT),2173784094,9159442482,8236063517,6355590081,44.53,689299.00,742792.00,6055.66,136.00,Shopee < CPT
ID,Electronics,Mall,5083415412,3291294903,5257057955,3182099038,7.66,118588.00,98885.00,206.83,27.00,Shopee > CPT
TH,Fashion,Non-Mall,2341811499,324814769,2403373494,9945753237,32.22,1175.00,1176.00,4186.48,130.00,Shopee < CPT
ID,Fashion,Non-Mall,1344466543,8741503643,3817729333,8737546114,134.96,2089301.00,1934681.00,19569.69,145.00,Shopee > CPT
TH,FMCG,Cross Border,3955133744,6210515062,6068998834,8047261398,11.75,428.00,365.00,1571.87,134.00,Shopee > CPT
ID,Fashion,Non-Mall,9633616967,8939310663,9758039005,3055179336,263.44,4078137.00,4508034.00,31349.01,119.00,Shopee < CPT
ID,Fashion,Cross Border,5045687278,6351711119,177091805,213040193,82.35,1274813.00,1317702.00,1482.29,18.00,Shopee < CPT
MY,Lifestyle,Non-Mall,3882684611,9444754594,2412473514,2067159452,208.60,977.00,1091.00,2918.44,14.00,Shopee < CPT
ID,Electronics,Mall,4391864564,8200922688,6169468274,8776301961,122.83,1901435.00,2153287.00,1965.24,16.00,Shopee < CPT
ID,FMCG,Cross Border,8187988842,7640333470,4986047725,1705853495,85.11,1317597.00,1421385.00,16426.87,193.00,Shopee < CPT
ID,Lifestyle,Long Tail (LT),6150097962,6220578280,4948461412,4763433761,28.29,437939.00,387956.00,792.11,28.00,Shopee > CPT
TH,Lifestyle,Cross Border,4023184675,5466729747,7413420395,7137529750,5.66,206.00,201.00,942.87,167.00,Shopee > CPT
TH,FMCG,Long Tail (LT),6569671776,5382558252,6241758396,1296290335,17.37,633.00,721.00,1908.38,110.00,Shopee < CPT
ID,Electronics,Long Tail (LT),8943228943,8969518418,5192885872,8445828891,100.39,1554161.00,1696803.00,8332.76,83.00,Shopee < CPT
VN,Electronics,Non-Mall,1760042349,5624860453,3200433037,336200907,242.45,5898148.00,6368674.00,14061.97,58.00,Shopee < CPT
TH,Fashion,Non-Mall,4912594705,5761910323,4374065808,4172914225,110.75,4040.00,3540.00,4096.86,37.00,Shopee > CPT
ID,Fashion,Mall,6270545907,7232764821,3801078909,9829163365,322.27,4988897.00,4061919.00,6123.13,19.00,Shopee > CPT
ID,Fashion,Mall,1329215520,8463733667,4159145066,1210133310,125.89,1948827.00,1853349.00,12211.25,97.00,Shopee > CPT
ID,FMCG,Mall,2977421315,2578066778,4523892916,6987728399,53.44,827284.00,774201.00,1656.65,31.00,Shopee > CPT
SG,Electronics,Non-Mall,6734594460,9584268773,4602764635,1158023491,81.59,111.00,115.00,2118.86,26.00,Shopee < CPT
TH,FMCG,Cross Border,3782670531,417050629,9139594276,2060689650,28.52,1040.00,1079.00,2565.33,90.00,Shopee < CPT
VN,FMCG,Non-Mall,3758254263,7631319923,4042177063,3871386056,56.36,1370992.00,1295297.00,7889.79,140.00,Shopee > CPT
MY,Lifestyle,Long Tail (LT),7024732765,7799072928,839249831,4998824803,1.21,5.00,4.00,155.76,146.00,Shopee > CPT
PH,Fashion,Mall,5730704681,2687352986,5065187738,1174022146,26.30,1487.00,1306.00,5150.78,196.00,Shopee > CPT
ID,Fashion,Cross Border,3674842206,6387395021,4743765160,3956809085,40.02,619510.00,578608.00,1240.58,31.00,Shopee > CPT
VN,Lifestyle,Cross Border,6834047101,2813217175,6968179169,1155892747,23.05,560675.00,498493.00,3871.89,168.00,Shopee > CPT
ID,FMCG,Long Tail (LT),8519111653,3987925164,8676540248,642468492,261.31,4045156.00,4661704.00,40763.82,156.00,Shopee < CPT
ID,Fashion,Non-Mall,3895177884,6719761206,9240879660,2820514050,131.56,2036581.00,2223163.00,19602.12,149.00,Shopee < CPT
ID,Electronics,Non-Mall,1059893675,4696773947,7397439338,8730484502,30.03,464851.00,490066.00,5435.10,181.00,Shopee < CPT
ID,Fashion,Mall,9746513880,7767586628,4140424129,4681156320,174.20,2696715.00,2711821.00,14981.27,86.00,Shopee < CPT
VN,Lifestyle,Non-Mall,1047171109,8222192286,1983841349,525439611,214.18,5210474.00,5337482.00,41765.18,195.00,Shopee < CPT
ID,Electronics,Cross Border,297670968,4876614256,5917867776,40958064,1.68,26020.00,24604.00,132.79,79.00,Shopee > CPT
ID,Fashion,Non-Mall,5889169424,8549984454,5191450778,5946922961,299.64,4638584.00,5408901.00,26668.00,89.00,Shopee < CPT
TH,Fashion,Long Tail (LT),9424306099,5992642547,800122958,7745724687,131.84,4810.00,4505.00,25574.94,194.00,Shopee > CPT
SG,Fashion,Cross Border,7989919099,6674608239,2201356179,906730562,27.08,36.00,39.00,3753.17,142.00,Shopee < CPT
